date,weekno,employee_id,name,status
01-Apr-22,W 14,Atq -458,JESSIE CARRILLO=PROPER(D2),WFO
01-Apr-22,W 14,Atq -400,chad macias,WFO
01-Apr-22,W 14,Atq -437,dallas weeks,WFO
01-Apr-22,W 14,Atq -369,GRETA HORTON,WFO
01-Apr-22,W 14,Atq -374,KALEY FITZPATRICK,WFO
01-Apr-22,W 14,Atq -470,JOVANI POPE,WFO
01-Apr-22,W 14,Atq -455,caylee meadows,WFO
01-Apr-22,W 14,Atq -385,FINNEGAN GILBERT,WFO
01-Apr-22,W 14,Atq -387,KONNER HENSON,WFO
01-Apr-22,W 14,Atq -443,andrew cummings,WFO
01-Apr-22,W 14,Atq -453,NEHEMIAH DIAZ,WFO
01-Apr-22,W 14,Atq -376,DOMINIQUE BENJAMIN,WFO
01-Apr-22,W 14,Atq -418,hillary kirk,WFO
01-Apr-22,W 14,Atq -373,isiah small,WFO
01-Apr-22,W 14,Atq -418,marquis wyatt,WFO
01-Apr-22,W 14,Atq -414,TITUS ANDERSEN,WFO
01-Apr-22,W 14,Atq -403,WILL MAHONEY,WFO
01-Apr-22,W 14,Atq -393,emma freeman,WFO
01-Apr-22,W 14,Atq -367,BRILEY ORR,WFO
01-Apr-22,W 14,Atq -421,rylee mullins,WFO
01-Apr-22,W 14,Atq -432,RYANN GUERRERO,WFO
01-Apr-22,W 14,Atq -484,DEMARCUS GORDON,WFO
01-Apr-22,W 14,Atq -428,CIARA ALLISON,WFO
01-Apr-22,W 14,Atq -467,ESPERANZA IRWIN,WFO
01-Apr-22,W 14,Atq -396,KARMA REEVES,WFO
01-Apr-22,W 14,Atq -472,cristofer bernard,WFO
01-Apr-22,W 14,Atq -412,TUCKER AUSTIN,WFO
01-Apr-22,W 14,Atq -398,salvatore hendrix,WFO
01-Apr-22,W 14,Atq -484,adyson moyer,WFO
01-Apr-22,W 14,Atq -385,JASE INGRAM,WFO
01-Apr-22,W 14,Atq -456,adriel pace,WFO
01-Apr-22,W 14,Atq -375,kenley marsh,WFO
01-Apr-22,W 14,Atq -475,LONDON KIM,WFO
01-Apr-22,W 14,Atq -435,dean mclaughlin,WFO
01-Apr-22,W 14,Atq -348,weston horton,WFO
01-Apr-22,W 14,Atq -468,xiomara ruiz,WFO
01-Apr-22,W 14,Atq -368,macie callahan,WFO
01-Apr-22,W 14,Atq -475,rey novak,WFO
01-Apr-22,W 14,Atq -375,hailee fitzpatrick,WFO
01-Apr-22,W 14,Atq -433,JAYCE FUENTES,WFO
01-Apr-22,W 14,Atq -370,ella roth,WFO
01-Apr-22,W 14,Atq -423@,RODRIGO PRICE,WFO
01-Apr-22,W 14,Atq -438,MILES FIELDS,WFO
01-Apr-22,W 14,Atq -349,TRYSTAN ORTEGA,WFO
01-Apr-22,W 14,Atq -459,iris woodard,WFO
01-Apr-22,W 14,Atq -419,faith hamilton,WFO
01-Apr-22,W 14,Atq -446,APRIL AYERS,WFO
01-Apr-22,W 14,Atq -334,boston morse,WFO
01-Apr-22,W 14,Atq -343,myla klein,WFO
01-Apr-22,W 14,Atq -335,madelynn gray,WFO
01-Apr-22,W 14,Atq -440,mckayla parker,WFO
01-Apr-22,W 14,Atq -405,sofia solis,WFO
01-Apr-22,W 14,Atq -450,MIYA HAMPTON,WFO
01-Apr-22,W 14,Atq -467,CASON DAVID,WFO
01-Apr-22,W 14,Atq -419,KAYLAH SCHULTZ,WFO
01-Apr-22,W 14,Atq -335,tori shannon,WFO
01-Apr-22,W 14,Atq -397,grace stone,WFO
01-Apr-22,W 14,Atq -404,ANA LITTLE,WFO
01-Apr-22,W 14,Atq -436,phoenix brady,WFO
01-Apr-22,W 14,Atq -441,LOKI LAL,WFO
01-Apr-22,W 14,Atq -366,peter pandey,WFO
01-Apr-22,W 14,Atq -438,mekhi singleton,WFO
01-Apr-22,W 14,Atq -398,bo cordova,WFO
01-Apr-22,W 14,Atq -411,nevaeh waller,WFO
01-Apr-22,W 14,Atq -462,jarvis singh,WFO
01-Apr-22,W 14,Atq -406,thanos thakur,WFO
01-Apr-22,W 14,Atq -396,JOEL CRUZ,WFH
01-Apr-22,W 14,Atq -443,LYRIC BARTLETT,WFH
01-Apr-22,W 14,Atq -430,MAXIMUS MCKENZIE,WFH
01-Apr-22,W 14,Atq -382,GUSTAVO RITTER,WFH
01-Apr-22,W 14,Atq -452,ayanna atkins,WFH
01-Apr-22,W 14,Atq -485,gregory carr,WFH
01-Apr-22,W 14,Atq -405,chris frye,WFH
01-Apr-22,W 14,Atq -458,JESSIE CARRILLO,WO
01-Apr-22,W 14,Atq -400,CHAD MACIAS,WO
02-Apr-22,W 14,Atq -437,DALLAS WEEKS,WO
02-Apr-22,W 14,Atq -372,miley combs,WO
02-Apr-22,W 14,Atq -369,GRETA HORTON,WO
02-Apr-22,W 14,Atq -374,KALEY FITZPATRICK,WO
02-Apr-22,W 14,Atq -470,JOVANI POPE,WO
02-Apr-22,W 14,Atq -455,CAYLEE MEADOWS,WO
02-Apr-22,W 14,Atq -385,FINNEGAN GILBERT,WO
02-Apr-22,W 14,Atq -387,KONNER HENSON,WO
02-Apr-22,W 14,Atq -430,maximus mckenzie,WO
02-Apr-22,W 14,Atq -443,ANDREW CUMMINGS,WO
02-Apr-22,W 14,Atq -461,josh sharp,WO
02-Apr-22,W 14,Atq -453,nehemiah diaz,WO
02-Apr-22,W 14,Atq -376,dominique benjamin,WO
02-Apr-22,W 14,Atq -418,hillary kirk,WO
02-Apr-22,W 14,Atq -373,ISIAH SMALL,WO
02-Apr-22,W 14,Atq -382,gustavo ritter,WO
02-Apr-22,W 14,Atq -408,NICK OROZCO,WO
02-Apr-22,W 14,Atq -418,marquis wyatt,WO
02-Apr-22,W 14,Atq -414,titus andersen,WO
02-Apr-22,W 14,Atq -403,WILL MAHONEY,WO
02-Apr-22,W 14,Atq -393,EMMA FREEMAN,WO
02-Apr-22,W 14,Atq -367,BRILEY ORR,WO
02-Apr-22,W 14,Atq -452,ayanna atkins,WO
02-Apr-22,W 14,Atq -485,GREGORY CARR,WO
02-Apr-22,W 14,Atq -421,rylee mullins,WO
02-Apr-22,W 14,Atq -432,ryann guerrero,WO
02-Apr-22,W 14,Atq -484,demarcus gordon,WO
02-Apr-22,W 14,Atq -428,CIARA ALLISON,WO
02-Apr-22,W 14,Atq -467,ESPERANZA IRWIN,WO
02-Apr-22,W 14,Atq -396,karma reeves,WO
02-Apr-22,W 14,Atq -472,CRISTOFER BERNARD,WO
02-Apr-22,W 14,Atq -412,TUCKER AUSTIN,WO
02-Apr-22,W 14,Atq -398,SALVATORE HENDRIX,WO
02-Apr-22,W 14,Atq -484,adyson moyer,WO
02-Apr-22,W 14,Atq -385,JASE INGRAM,WO
02-Apr-22,W 14,Atq -456,ADRIEL PACE,WO
02-Apr-22,W 14,Atq -375,KENLEY MARSH,WO
02-Apr-22,W 14,Atq -475,LONDON KIM,WO
02-Apr-22,W 14,Atq -405,chris frye,WO
02-Apr-22,W 14,Atq -426,roman colon,WO
02-Apr-22,W 14,Atq -331,jonah hamilton,WO
02-Apr-22,W 14,Atq -435,DEAN MCLAUGHLIN,WO
02-Apr-22,W 14,Atq -348,weston horton,WO
02-Apr-22,W 14,Atq -468,XIOMARA RUIZ,WO
02-Apr-22,W 14,Atq -368,MACIE CALLAHAN,WO
02-Apr-22,W 14,Atq -475,REY NOVAK,WO
02-Apr-22,W 14,Atq -375,hailee fitzpatrick,WO
02-Apr-22,W 14,Atq -433,JAYCE FUENTES,WO
02-Apr-22,W 14,Atq -370,ella roth,WO
02-Apr-22,W 14,Atq -423,rodrigo price,WO
02-Apr-22,W 14,Atq -438,miles fields,WO
02-Apr-22,W 14,Atq -349,TRYSTAN ORTEGA,WO
02-Apr-22,W 14,Atq -459,IRIS WOODARD,WO
02-Apr-22,W 14,Atq -396,joel cruz,WO
02-Apr-22,W 14,Atq -393,JANELLE RAYMOND,WO
02-Apr-22,W 14,Atq -419,faith hamilton,WO
02-Apr-22,W 14,Atq -446,april ayers,WO
02-Apr-22,W 14,Atq -334,boston morse,WO
02-Apr-22,W 14,Atq -343,myla klein,WO
02-Apr-22,W 14,Atq -335,madelynn gray,WO
02-Apr-22,W 14,Atq -440,MCKAYLA PARKER,WO
02-Apr-22,W 14,Atq -405,SOFIA SOLIS,WO
02-Apr-22,W 14,Atq -450,miya hampton,WO
02-Apr-22,W 14,Atq -467,cason david,WO
02-Apr-22,W 14,Atq -419,kaylah schultz,WO
02-Apr-22,W 14,Atq -443,LYRIC BARTLETT,WO
02-Apr-22,W 14,Atq -335,TORI SHANNON,WO
02-Apr-22,W 14,Atq -397,grace stone,WO
02-Apr-22,W 14,Atq -404,ana little,WO
02-Apr-22,W 14,Atq -436,PHOENIX BRADY,WO
02-Apr-22,W 14,Atq -441,LOKI LAL,WO
02-Apr-22,W 14,Atq -366,peter pandey,WO
02-Apr-22,W 14,Atq -438,MEKHI SINGLETON,WO
02-Apr-22,W 14,Atq -398,bo cordova,WO
02-Apr-22,W 14,Atq -411,NEVAEH WALLER,WO
02-Apr-22,W 14,Atq -462,JARVIS SINGH,WO
02-Apr-22,W 14,Atq -406,thanos thakur,WO
02-Apr-22,W 15,Atq -472,CRISTOFER BERNARD,WO
02-Apr-22,W 15,Atq -412,tucker austin,WO
02-Apr-22,W 15,Atq -398,SALVATORE HENDRIX,WO
02-Apr-22,W 15,Atq -484,ADYSON MOYER,WO
03-Apr-22,W 15,Atq -385,JASE INGRAM,WO
03-Apr-22,W 15,Atq -456,adriel pace,WO
03-Apr-22,W 15,Atq -375,kenley marsh,WO
03-Apr-22,W 15,Atq -475,london kim,WO
03-Apr-22,W 15,Atq -405,chris frye,WO
03-Apr-22,W 15,Atq -426,roman colon,WO
03-Apr-22,W 15,Atq -331,jonah hamilton,WO
03-Apr-22,W 15,Atq -435,dean mclaughlin,WO
03-Apr-22,W 15,Atq -348,weston horton,WO
03-Apr-22,W 15,Atq -468,xiomara ruiz,WO
03-Apr-22,W 15,Atq -368,macie callahan,WO
03-Apr-22,W 15,Atq -475,rey novak,WO
03-Apr-22,W 15,Atq -375,HAILEE FITZPATRICK,WO
03-Apr-22,W 15,Atq -433,JAYCE FUENTES,WO
